,titulo,caracteristicas,precos,endereco,rua,bairro,cidade,data_anuncio,link,data_pesquisa
0,"Casa para Aluguel - Samambaia, 3 Quartos, 85 m²",85 m² área total 85 m² área útil 3 Quartos 2 Banheiros 2 Vagas,R$ 1.600,"Qr 210 Conjunto 19, Samambaia, Samambaia",,,,,https://www.wimoveis.com.br/propriedades/casa-para-aluguel-samambaia-3-quartos-85-m-sup2-2950592308.html,31-07-20
1,"Casa Com 3 Dormitórios para Alugar, 115 m² Por R$900,00/mês - Setor Campinas - Goiânia/go",115 m² área total 115 m² área útil 3 Quartos,R$ 900,"Setor Campinas, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/casa-com-3-dormitorios-para-alugar-115-m-sup2--por-2950575478.html,31-07-20
2,"Casa para Aluguel - Ceilândia, 3 Quartos, 95 m²",95 m² área total 95 m² área útil 3 Quartos 2 Banheiros 2 Vagas,R$ 1.400,"Qnp 5, Ceilandia Centro, Ceilândia",,,,,https://www.wimoveis.com.br/propriedades/casa-para-aluguel-ceilandia-3-quartos-95-m-sup2-2950576641.html,31-07-20
3,"Casa para Aluguel - Setor Central, 2 Quartos, 78 m²",78 m² área total 78 m² área útil 2 Quartos 2 Banheiros 1 Vaga,R$ 1.409,"Rua 4 - Quadra Gb5, Setor Central, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/casa-para-aluguel-setor-central-2-quartos-78-2950592224.html,31-07-20
4,Casa - Setor Habitacional Jardim Botânico,1 m² área total 1 m² área útil 4 Quartos 1 Vaga,R$ 6.500,"CONDOMÍNIO SOLAR DE BRASÍLIA 22, Setor Habitacional Jardim Botânico, Brasília",,,,,https://www.wimoveis.com.br/propriedades/casa-setor-habitacional-jardim-botanico-2950593834.html,31-07-20
5,Casa - Setor Sudoeste,130 m² área total 130 m² área útil 3 Quartos 3 Banheiros 2 Vagas,R$ 1.700,"Rua C 83 Qd 172 Lt 15, s/n, Setor Sudoeste, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/casa-setor-sudoeste-2950577192.html,31-07-20
6,Casa para Alugar Com 3 Quartos - Ceilândia Norte,95 m² área total 95 m² área útil 3 Quartos 2 Banheiros 2 Vagas,R$ 1.400,"Quadra QNP 5 Conjunto R 0, Ceilandia Norte, Ceilândia",,,,,https://www.wimoveis.com.br/propriedades/casa-para-alugar-com-3-quartos-ceilandia-norte-2950591052.html,31-07-20
7,Alugo Casa Vazada no Lote Com Subsolo na Shcgn 704 Bl. N Casa 13!,310 m² área total 285 m² área útil 4 Quartos 5 Banheiros 2 Vagas,R$ 5.300,"Asa Norte, Brasília",,,,,https://www.wimoveis.com.br/propriedades/alugo-casa-vazada-no-lote-com-subsolo-na-shcgn-704-bl.-2950579787.html,31-07-20
8,Casa para Alugar Com 3 Quartos - Ceilândia Norte,95 m² área total 95 m² área útil 3 Quartos 2 Banheiros 2 Vagas,R$ 1.400,"Quadra QNP 5 Conjunto R 0, Ceilandia Norte, Ceilândia",,,,,https://www.wimoveis.com.br/propriedades/casa-para-alugar-com-3-quartos-ceilandia-norte-2950579843.html,31-07-20
9,Qnl 16 Conjunto A Oferta Casa 01 Quarto Aluguel Com 01 Mês Grátis,80 m² área total 80 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 700,"QNL 16 Conjunto A, Taguatinga Norte, Taguatinga",,,,,https://www.wimoveis.com.br/propriedades/qnl-16-conjunto-a-oferta-casa-01-quarto-aluguel-com-01-2950593846.html,31-07-20
