,titulo,caracteristicas,precos,endereco,rua,bairro,cidade,data_pesquisa
29,Shis Qi 5 Térrea!,1200 m² área total 420 m² área útil 4 Quartos 4 Banheiros 4 Vagas,R$ 11.000,"SHIS Qi 5, Setor de Habitações Individuais Sul, Brasília",,,,27-07-20
30,"Shis Qi 26 - Maravilhosa Casa Moderna, Mobiliada",1200 m² área total 660 m² área útil 5 Quartos 8 Banheiros 6 Vagas,R$ 26.500,"Quadra SHIS QI 26 0, Lago Sul, Brasília",,,,27-07-20
31,Shis Ql 4,1200 m² área total 500 m² área útil 5 Quartos 8 Banheiros 4 Vagas,R$ 12.500,"SHIS QL 4, Lago Sul, Brasília",,,,27-07-20
32,Alugo Casa De 02 Quartos no Cond. Nova Digneia II Conj. I Sobradinho - Df,45 m² área total 45 m² área útil 2 Quartos 1 Banheiro,R$ 600,"Condomínio Colina Nova Diguinea II Conj I Casa 16 Res. 01 , Sobradinho, Sobradinho",,,,27-07-20
33,"Casa no Condomínio Estancia Quintas Da Alvorada, 141 m² Por R$3.800/mês - Setor Habitacional Jardim",632 m² área total 141 m² área útil 3 Quartos 3 Banheiros 2 Vagas,R$ 3.800,"Condomínio Estância Quintas da Alvorada 0, Setor Habitacional Jardim Botânico, Brasília",,,,27-07-20
34,"Casa para Aluguel - Setor Sul, 3 Quartos, 70 m²",70 m² área total 70 m² área útil 3 Quartos 2 Banheiros 2 Vagas,R$ 1.401,"Rua 104, Setor Sul, Goiânia",,,,27-07-20
35,Casa para Aluguel - em Samambaia Norte,300 m² área total 140 m² área útil 4 Quartos 2 Banheiros 4 Vagas,R$ 1.650,"Samambaia Norte, Samambaia",,,,27-07-20
36,"Casa para Aluguel - Samambaia, 2 Quartos, 45 m²",45 m² área total 45 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 900,"Qr 210 Conjunto 19, Samambaia, Samambaia",,,,27-07-20
37,Casa Jardim Botânico 3 Qts 3 Suítes Casa Nova E Reformada!,690 m² área total 230 m² área útil 3 Quartos 6 Banheiros 5 Vagas,R$ 5.250,"Condomínio Estância Quintas da Alvorada Condomínio Estância Quintas da Alvorada, Setor Habitacional Jardim Botânico, Brasília",,,,27-07-20
38,"Casa para Aluguel - Samambaia, 1 Quarto, 40 m²",40 m² área total 40 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 700,"Qr 210 Conjunto 19, Samambaia, Samambaia",,,,27-07-20
39,"Casa para Aluguel - Ceilândia, 2 Quartos, 60 m²",60 m² área total 60 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 680,"Qnp 28 Conjunto F, Ceilandia Centro, Ceilândia",,,,27-07-20
40,Qnl 01 Boloco I 3 Quartos,200 m² área total 135 m² área útil 3 Quartos 2 Banheiros 3 Vagas,R$ 1.200,"QNL 01, Taguatinga Norte, Taguatinga",,,,27-07-20
41,"Qsd 26 - Casa Com 3 Dormitórios para Alugar, 110 m² - Taguatinga Sul /df",300 m² área total 110 m² área útil 3 Quartos 1 Banheiro,R$ 2.000,"Taguatinga Sul, Taguatinga",,,,27-07-20
42,"Qsd 17 - Casa Com 4 Dormitórios para Alugar, 155 m² - Taguatinga Sul /df",155 m² área total 155 m² área útil 4 Quartos 3 Banheiros,R$ 3.500,"Taguatinga Sul, Taguatinga",,,,27-07-20
43,Casa - Locação - Qi 05 - Lago Sul,420 m² área total 420 m² área útil 4 Quartos 4 Banheiros 4 Vagas,R$ 11.000,"Lago Sul, Brasília",,,,27-07-20
44,Casa na Qi 01 Do Lago Sul,700 m² área total 700 m² área útil 6 Quartos 8 Banheiros 5 Vagas,R$ 20.000,"SHIS QI 01 Conjunto 4, Lago Sul, Brasília",,,,27-07-20
45,"Casa Com 3 Dormitórios para Alugar, 100 m² Por R$1.000,00/mês - Taguatinga Norte - Taguatinga/df",100 m² área total 100 m² área útil 3 Quartos 1 Banheiro 2 Vagas,R$ 1.000,"Taguatinga Norte, Taguatinga",,,,27-07-20
46,"Sobrado Com 2 Dormitórios para Alugar, 200 m² Por R$1.700,00/mês - Setor Jaó - Goiânia/go",300 m² área total 200 m² área útil 2 Quartos,R$ 1.700,"Setor Jaó, Goiânia",,,,27-07-20
47,"Casa para Aluguel - Setor Leste Vila Nova, 1 Quarto, 23 m²",23 m² área total 23 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 730,"Rua 208, Setor Leste Vila Nova, Goiânia",,,,27-07-20
48,Shcgn 707 Asa Norte Casa 6 Qts 4 Suítes 470 m² Com 3 Vagas De Garagem!,470 m² área total 470 m² área útil 6 Quartos 7 Banheiros 3 Vagas,R$ 6.000,"SHCGN 707 Bloco E SHCGN 707 Bloco E, Asa Norte, Brasília",,,,27-07-20
49,"Casa para Aluguel - Ceilândia, 2 Quartos, 70 m²",70 m² área total 70 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 970,"Qnp 28 Conjunto S, Ceilandia Centro, Ceilândia",,,,27-07-20
50,"Casa Residencial para Locação, Guará II, Guará.",90 m² área total 71 m² área útil 2 Quartos 2 Banheiros 1 Vaga,R$ 1.600,"Quadra QE 24 Conjunto D 0, Guara II, Guará",,,,27-07-20
51,"Casa para Aluguel - Taguatinga, 2 Quartos, 60 m²",60 m² área total 60 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 1.060,"Qnm 34 Conjunto B2, Taguatinga Centro, Taguatinga",,,,27-07-20
52,"Casa Com 4 Dormitórios para Alugar, 200 m² Por R$1.400,00/mês - Feliz - Goiânia/go",240 m² área total 200 m² área útil 4 Quartos 1 Banheiro,R$ 1.400,"Feliz, Goiânia",,,,27-07-20
53,"Casa Com 1 Dormitório para Alugar, 70 m² Por R$1.000,00/mês - Setor Coimbra - Goiânia/go",70 m² área total 70 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 1.000,"Setor Coimbra, Goiânia",,,,27-07-20
54,"Casa Com 3 Dormitórios para Alugar, 200 m² Por R$2.400,00/mês - Setor Sul - Goiânia/go",200 m² área total 200 m² área útil 3 Quartos 2 Banheiros 3 Vagas,R$ 2.400,"Setor Sul, Goiânia",,,,27-07-20
