,titulo,caracteristicas,precos,endereco,rua,bairro,cidade,data_anuncio,link,data_pesquisa
20,Quadra Qs 8,2 Quartos 1 Banheiro,R$ 1.400,"Quadra QS 8, Areal, Águas Claras",,,,,https://www.wimoveis.com.br/propriedades/quadra-qs-8-2950535228.html,30-07-20
21,Casa - Setor Habitacional Jardim Botânico,800 m² área total 400 m² área útil 3 Quartos 2 Vagas,R$ 7.500,"CONDOMÍNIO VILLE MONTAGNE, Setor Habitacional Jardim Botânico, Brasília",,,,,https://www.wimoveis.com.br/propriedades/casa-setor-habitacional-jardim-botanico-2950524265.html,30-07-20
22,Quadra Coonia Agric. Bernado Saião Ch 9b Cs 21,52 m² área total 52 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 1.160,"Quadra COONIA AGRIC. BERNADO SAIÃO CH 9B CS 21, Guara II, Guará",,,,,https://www.wimoveis.com.br/propriedades/quadra-coonia-agric.-bernado-saiao-ch-9b-cs-21-2950524898.html,30-07-20
23,"Sobrado Com 4 Dormitórios para Alugar, 342 m² Por R$8.500,00/mês - Residencial Alphaville Flamboyan",655 m² área total 342 m² área útil 4 Quartos 5 Banheiros 4 Vagas,R$ 8.500,"Residencial Alphaville Flamboyant, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/sobrado-com-4-dormitorios-para-alugar-342-m-sup2--por-2950532237.html,30-07-20
24,Casinha De Fundo na Qe 04 Conjunto G,90 m² área total 75 m² área útil 2 Quartos 1 Banheiro,R$ 1.000,"QE 4 Conjunto G , Guara I, Guará",,,,,https://www.wimoveis.com.br/propriedades/casinha-de-fundo-na-qe-04-conjunto-g-2950508603.html,30-07-20
25,"Casa Com 4 Dormitórios para Alugar, 300 m², no Condomínio Residencial Mônaco",800 m² área total 300 m² área útil 4 Quartos 4 Banheiros,R$ 3.850,"Lago Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/casa-com-4-dormitorios-para-alugar-300-m-sup2--no-2950515524.html,30-07-20
26,"Casa Com 4 Dormitórios para Alugar, 410 m² Por R$2.500,00/mês - Sobradinho - Sobradinho/df",525 m² área total 410 m² área útil 4 Quartos 5 Vagas,R$ 2.500,"Quadra Quadra 6 Conjunto B 4, Sobradinho, Sobradinho",,,,,https://www.wimoveis.com.br/propriedades/casa-com-4-dormitorios-para-alugar-410-m-sup2--por-2950502472.html,30-07-20
27,Casa - Setor Habitacional Jardim Botânico,320 m² área total 197 m² área útil 3 Quartos 2 Vagas,R$ 2.800,"CONDOMÍNIO JARDIM BOTÂNICO VI, Setor Habitacional Jardim Botânico, Brasília",,,,,https://www.wimoveis.com.br/propriedades/casa-setor-habitacional-jardim-botanico-2950506886.html,30-07-20
28,Condomínio Estância Jardim Botânico,800 m² área total 400 m² área útil 3 Quartos 5 Banheiros,R$ 6.500,"Setor Habitacional Jardim Botânico, Brasília",,,,,https://www.wimoveis.com.br/propriedades/condominio-estancia-jardim-botanico-2950502832.html,30-07-20
29,Casa para Alugar Com 3 Quartos,144 m² área total 144 m² área útil 3 Quartos 2 Banheiros 3 Vagas,R$ 1.200,"Quadra Qno 6 Conjunto J 0, Ceilandia Norte, Ceilândia",,,,,https://www.wimoveis.com.br/propriedades/casa-para-alugar-com-3-quartos-2950515363.html,30-07-20
30,Casa - Jardim Goias,70 m² área total 3 Quartos 4 Vagas,R$ 1.200,"Jardim Goiás, Rio Verde",,,,,https://www.wimoveis.com.br/propriedades/casa-jardim-goias-2950503722.html,30-07-20
31,Sobrado Comercial Marista,587 m² área total 221 m² área útil 0 Quartos 3 Banheiros 2 Vagas,R$ 5.500,"Rua T 53 , Setor Marista, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/sobrado-comercial-marista-2950504210.html,30-07-20
32,Casa - Jardim Califórnia,250 m² área total 3 Quartos 2 Vagas,R$ 2.200,"Jardim Califórnia, Formosa",,,,,https://www.wimoveis.com.br/propriedades/casa-jardim-california-2950503342.html,30-07-20
33,Casa Reformada em Chácara no Lago Norte,200 m² área total 159 m² área útil 4 Quartos 3 Banheiros 4 Vagas,R$ 3.500,"Setor de Habitações Individuais Norte, Brasília",,,,,https://www.wimoveis.com.br/propriedades/casa-reformada-em-chacara-no-lago-norte-2950502361.html,30-07-20
34,"Alugo Smdb 32,magnifica, Vista Espetacular! (61)9.8294 - 1642",990 m² área total 495 m² área útil 5 Quartos 9 Banheiros 12 Vagas,R$ 50.000,"Lago Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/alugo-smdb-32-magnifica-vista-espetacular!-61-9.8294-2950498785.html,30-07-20
35,"Casa para Aluguel - Ceilândia, 2 Quartos, 144 m²",144 m² área total 144 m² área útil 2 Quartos 1 Banheiro 3 Vagas,R$ 1.200,"Qno 6, Ceilandia Centro, Ceilândia",,,,,https://www.wimoveis.com.br/propriedades/casa-para-aluguel-ceilandia-2-quartos-144-m-sup2-2950495653.html,30-07-20
36,Qno 11 Casa Frente E Fundo Oferta,120 m² área total 120 m² área útil 3 Quartos 2 Banheiros 3 Vagas,R$ 1.200,"QNO 11, Ceilandia Norte, Ceilândia",,,,,https://www.wimoveis.com.br/propriedades/qno-11-casa-frente-e-fundo-oferta-2950489044.html,30-07-20
37,Casa 02 Quartos 1° Pavimento Grg,65 m² área total 65 m² área útil 2 Quartos 1 Vaga,R$ 2.000,"Asa Norte, Brasília",,,,,https://www.wimoveis.com.br/propriedades/casa-02-quartos-1-pavimento-grg-2950489038.html,30-07-20
38,Casa - Residencial Santos Dumont,250 m² área total 6 Quartos 5 Banheiros 6 Vagas,R$ 2.600,"Residencial Santos Dumont, Santa Maria",,,,,https://www.wimoveis.com.br/propriedades/casa-residencial-santos-dumont-2950489014.html,30-07-20
39,Shis Ql 02 Casa Térrea Com 9 Qts Sendo 4 Suítes 730 m² Construído!,4000 m² área total 730 m² área útil 9 Quartos 8 Banheiros 10 Vagas,R$ 13.400,"SHIS QL 2 Conjunto 3 SHIS QL 2 Conjunto 3, Setor de Habitações Individuais Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/shis-ql-02-casa-terrea-com-9-qts-sendo-4-suites-730-2950483104.html,30-07-20
40,"Casa para Aluguel - Asa Norte, 3 Quartos, 150 m²",150 m² área total 150 m² área útil 3 Quartos 2 Banheiros 2 Vagas,R$ 3.600,"Shcgn 704 Bloco F 21, Asa Norte, Brasília",,,,,https://www.wimoveis.com.br/propriedades/casa-para-aluguel-asa-norte-3-quartos-150-m-sup2-2950471181.html,30-07-20
41,Ótima Casa em Condomínio Fechado no Park Way,2500 m² área total 1260 m² área útil 5 Quartos 9 Banheiros 2 Vagas,R$ 20.000,"Park Way Q 9, Park Way, Brasília",,,,,https://www.wimoveis.com.br/propriedades/otima-casa-em-condominio-fechado-no-park-way-2950471795.html,30-07-20
42,Qr 122 - Sobrado 4 Quartos Suíte,247 m² área total 247 m² área útil 4 Quartos 3 Banheiros 2 Vagas,R$ 2.400,"QD Qr 122 , Samambaia Sul, Samambaia",,,,,https://www.wimoveis.com.br/propriedades/qr-122-sobrado-4-quartos-suite-2950468547.html,30-07-20
43,Quadra Qr 608 Conjunto 9 - Samambaia Norte,150 m² área total 90 m² área útil 2 Quartos 1 Banheiro 3 Vagas,R$ 1.300,"Quadra QR 608 Conjunto 9 0, Samambaia Norte, Samambaia",,,,,https://www.wimoveis.com.br/propriedades/quadra-qr-608-conjunto-9-samambaia-norte-2950483286.html,30-07-20
44,Alugo Casa 3 Quartos - Gama - Q. 03 Sul,250 m² área total 250 m² área útil 3 Quartos 2 Banheiros 4 Vagas,R$ 1.700,"Quadra 03 conjunto N, Setor Sul, Gama",,,,,https://www.wimoveis.com.br/propriedades/alugo-casa-3-quartos-gama-q.-03-sul-2950480357.html,30-07-20
45,Casa Shis Qi 11 Lago Sul Aluguel,4 Quartos 2 Vagas,R$ 9.000,"Lago Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/casa-shis-qi-11-lago-sul-aluguel-2950481149.html,30-07-20
46,Aluga - Se Casa Nova E Moderna 5 Minutos Da Ponte Jk,690 m² área total 100 m² área útil 3 Quartos 4 Banheiros 2 Vagas,R$ 4.800,"Setor Habitacional Jardim Botânico, Brasília",,,,,https://www.wimoveis.com.br/propriedades/aluga-se-casa-nova-e-moderna-5-minutos-da-ponte-jk-2950473476.html,30-07-20
47,Casa para Alugar Com 3 Quartos,150 m² área total 150 m² área útil 3 Quartos 2 Banheiros 2 Vagas,R$ 3.600,"Quadra SHCGN 704 Bloco F 21, Asa Norte, Brasília",,,,,https://www.wimoveis.com.br/propriedades/casa-para-alugar-com-3-quartos-2950475362.html,30-07-20
48,"Casa Com 4 Dormitórios para Alugar, 354 m² Por R$4.300,00/mês - Taguatinga Norte - Taguatinga/df",800 m² área total 354 m² área útil 4 Quartos 4 Banheiros 1 Vaga,R$ 4.300,"Setor Setor Habitacional Vicente Pires 0, Taguatinga Norte, Taguatinga",,,,,https://www.wimoveis.com.br/propriedades/casa-com-4-dormitorios-para-alugar-354-m-sup2--por-2950484822.html,30-07-20
49,"Sobrado Com 3 Dormitórios para Alugar, 290 m² Por R$2.300/mês - Jardim Atlântico - Goiânia/go",420 m² área total 290 m² área útil 3 Quartos,R$ 2.300,"Jardim Atlântico, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/sobrado-com-3-dormitorios-para-alugar-290-m-sup2--por-2950485038.html,30-07-20
50,Shis Qi 5 Térrea!,1200 m² área total 420 m² área útil 4 Quartos 4 Banheiros 4 Vagas,R$ 11.000,"SHIS Qi 5, Setor de Habitações Individuais Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/shis-qi-5-terrea!-2950460966.html,30-07-20
51,"Shis Qi 26 - Maravilhosa Casa Moderna, Mobiliada",1200 m² área total 660 m² área útil 5 Quartos 8 Banheiros 6 Vagas,R$ 26.500,"Quadra SHIS QI 26 0, Lago Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/shis-qi-26-maravilhosa-casa-moderna-mobiliada-2950465143.html,30-07-20
52,Shis Ql 4,1200 m² área total 500 m² área útil 5 Quartos 8 Banheiros 4 Vagas,R$ 12.500,"SHIS QL 4, Lago Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/shis-ql-4-2950463151.html,30-07-20
