,titulo,caracteristicas,precos,endereco,rua,bairro,cidade,data_anuncio,link,data_pesquisa
26,"Casa Com 4 Dormitórios para Alugar, 410 m² Por R$2.500,00/mês - Sobradinho - Sobradinho/df",525 m² área total 410 m² área útil 4 Quartos 5 Vagas,R$ 2.500,"Quadra Quadra 6 Conjunto B 4, Sobradinho, Sobradinho",,,,,https://www.wimoveis.com.br/propriedades/casa-com-4-dormitorios-para-alugar-410-m-sup2--por-2950502472.html,29-07-20
27,Casa - Setor Habitacional Jardim Botânico,320 m² área total 197 m² área útil 3 Quartos 2 Vagas,R$ 2.800,"CONDOMÍNIO JARDIM BOTÂNICO VI, Setor Habitacional Jardim Botânico, Brasília",,,,,https://www.wimoveis.com.br/propriedades/casa-setor-habitacional-jardim-botanico-2950506886.html,29-07-20
28,Condomínio Estância Jardim Botânico,800 m² área total 400 m² área útil 3 Quartos 5 Banheiros,R$ 6.500,"Setor Habitacional Jardim Botânico, Brasília",,,,,https://www.wimoveis.com.br/propriedades/condominio-estancia-jardim-botanico-2950502832.html,29-07-20
29,Casa para Alugar Com 3 Quartos,144 m² área total 144 m² área útil 3 Quartos 2 Banheiros 3 Vagas,R$ 1.200,"Quadra Qno 6 Conjunto J 0, Ceilandia Norte, Ceilândia",,,,,https://www.wimoveis.com.br/propriedades/casa-para-alugar-com-3-quartos-2950515363.html,29-07-20
30,Casa - Jardim Goias,70 m² área total 3 Quartos 4 Vagas,R$ 1.200,"Jardim Goiás, Rio Verde",,,,,https://www.wimoveis.com.br/propriedades/casa-jardim-goias-2950503722.html,29-07-20
31,Sobrado Comercial Marista,587 m² área total 221 m² área útil 0 Quartos 3 Banheiros 2 Vagas,R$ 5.500,"Rua T 53 , Setor Marista, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/sobrado-comercial-marista-2950504210.html,29-07-20
32,Casa - Jardim Califórnia,250 m² área total 3 Quartos 2 Vagas,R$ 2.200,"Jardim Califórnia, Formosa",,,,,https://www.wimoveis.com.br/propriedades/casa-jardim-california-2950503342.html,29-07-20
33,Casa Reformada em Chácara no Lago Norte,200 m² área total 159 m² área útil 4 Quartos 3 Banheiros 4 Vagas,R$ 3.500,"Setor de Habitações Individuais Norte, Brasília",,,,,https://www.wimoveis.com.br/propriedades/casa-reformada-em-chacara-no-lago-norte-2950502361.html,29-07-20
34,"Alugo Smdb 32,magnifica, Vista Espetacular! (61)9.8294 - 1642",990 m² área total 495 m² área útil 5 Quartos 9 Banheiros 12 Vagas,R$ 50.000,"Lago Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/alugo-smdb-32-magnifica-vista-espetacular!-61-9.8294-2950498785.html,29-07-20
35,"Casa para Aluguel - Ceilândia, 2 Quartos, 144 m²",144 m² área total 144 m² área útil 2 Quartos 1 Banheiro 3 Vagas,R$ 1.200,"Qno 6, Ceilandia Centro, Ceilândia",,,,,https://www.wimoveis.com.br/propriedades/casa-para-aluguel-ceilandia-2-quartos-144-m-sup2-2950495653.html,29-07-20
36,Qno 11 Casa Frente E Fundo Oferta,120 m² área total 120 m² área útil 3 Quartos 2 Banheiros 3 Vagas,R$ 1.200,"QNO 11, Ceilandia Norte, Ceilândia",,,,,https://www.wimoveis.com.br/propriedades/qno-11-casa-frente-e-fundo-oferta-2950489044.html,29-07-20
37,Casa 02 Quartos 1° Pavimento Grg,65 m² área total 65 m² área útil 2 Quartos 1 Vaga,R$ 2.000,"Asa Norte, Brasília",,,,,https://www.wimoveis.com.br/propriedades/casa-02-quartos-1-pavimento-grg-2950489038.html,29-07-20
38,Casa - Residencial Santos Dumont,250 m² área total 6 Quartos 5 Banheiros 6 Vagas,R$ 2.600,"Residencial Santos Dumont, Santa Maria",,,,,https://www.wimoveis.com.br/propriedades/casa-residencial-santos-dumont-2950489014.html,29-07-20
39,Shis Ql 02 Casa Térrea Com 9 Qts Sendo 4 Suítes 730 m² Construído!,4000 m² área total 730 m² área útil 9 Quartos 8 Banheiros 10 Vagas,R$ 13.400,"SHIS QL 2 Conjunto 3 SHIS QL 2 Conjunto 3, Setor de Habitações Individuais Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/shis-ql-02-casa-terrea-com-9-qts-sendo-4-suites-730-2950483104.html,29-07-20
40,"Casa para Aluguel - Asa Norte, 3 Quartos, 150 m²",150 m² área total 150 m² área útil 3 Quartos 2 Banheiros 2 Vagas,R$ 3.600,"Shcgn 704 Bloco F 21, Asa Norte, Brasília",,,,,https://www.wimoveis.com.br/propriedades/casa-para-aluguel-asa-norte-3-quartos-150-m-sup2-2950471181.html,29-07-20
41,Ótima Casa em Condomínio Fechado no Park Way,2500 m² área total 1260 m² área útil 5 Quartos 9 Banheiros 2 Vagas,R$ 20.000,"Park Way Q 9, Park Way, Brasília",,,,,https://www.wimoveis.com.br/propriedades/otima-casa-em-condominio-fechado-no-park-way-2950471795.html,29-07-20
42,Qr 122 - Sobrado 4 Quartos Suíte,247 m² área total 247 m² área útil 4 Quartos 3 Banheiros 2 Vagas,R$ 2.400,"QD Qr 122 , Samambaia Sul, Samambaia",,,,,https://www.wimoveis.com.br/propriedades/qr-122-sobrado-4-quartos-suite-2950468547.html,29-07-20
43,Quadra Qr 608 Conjunto 9 - Samambaia Norte,150 m² área total 90 m² área útil 2 Quartos 1 Banheiro 3 Vagas,R$ 1.300,"Quadra QR 608 Conjunto 9 0, Samambaia Norte, Samambaia",,,,,https://www.wimoveis.com.br/propriedades/quadra-qr-608-conjunto-9-samambaia-norte-2950483286.html,29-07-20
44,Alugo Casa 3 Quartos - Gama - Q. 03 Sul,250 m² área total 250 m² área útil 3 Quartos 2 Banheiros 4 Vagas,R$ 1.700,"Quadra 03 conjunto N, Setor Sul, Gama",,,,,https://www.wimoveis.com.br/propriedades/alugo-casa-3-quartos-gama-q.-03-sul-2950480357.html,29-07-20
45,Casa Shis Qi 11 Lago Sul Aluguel,4 Quartos 2 Vagas,R$ 9.000,"Lago Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/casa-shis-qi-11-lago-sul-aluguel-2950481149.html,29-07-20
46,Aluga - Se Casa Nova E Moderna 5 Minutos Da Ponte Jk,690 m² área total 100 m² área útil 3 Quartos 4 Banheiros 2 Vagas,R$ 4.800,"Setor Habitacional Jardim Botânico, Brasília",,,,,https://www.wimoveis.com.br/propriedades/aluga-se-casa-nova-e-moderna-5-minutos-da-ponte-jk-2950473476.html,29-07-20
47,Casa para Alugar Com 3 Quartos,150 m² área total 150 m² área útil 3 Quartos 2 Banheiros 2 Vagas,R$ 3.600,"Quadra SHCGN 704 Bloco F 21, Asa Norte, Brasília",,,,,https://www.wimoveis.com.br/propriedades/casa-para-alugar-com-3-quartos-2950475362.html,29-07-20
48,"Casa Com 4 Dormitórios para Alugar, 354 m² Por R$4.300,00/mês - Taguatinga Norte - Taguatinga/df",800 m² área total 354 m² área útil 4 Quartos 4 Banheiros 1 Vaga,R$ 4.300,"Setor Setor Habitacional Vicente Pires 0, Taguatinga Norte, Taguatinga",,,,,https://www.wimoveis.com.br/propriedades/casa-com-4-dormitorios-para-alugar-354-m-sup2--por-2950484822.html,29-07-20
49,"Sobrado Com 3 Dormitórios para Alugar, 290 m² Por R$2.300/mês - Jardim Atlântico - Goiânia/go",420 m² área total 290 m² área útil 3 Quartos,R$ 2.300,"Jardim Atlântico, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/sobrado-com-3-dormitorios-para-alugar-290-m-sup2--por-2950485038.html,29-07-20
50,Shis Qi 5 Térrea!,1200 m² área total 420 m² área útil 4 Quartos 4 Banheiros 4 Vagas,R$ 11.000,"SHIS Qi 5, Setor de Habitações Individuais Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/shis-qi-5-terrea!-2950460966.html,29-07-20
51,"Shis Qi 26 - Maravilhosa Casa Moderna, Mobiliada",1200 m² área total 660 m² área útil 5 Quartos 8 Banheiros 6 Vagas,R$ 26.500,"Quadra SHIS QI 26 0, Lago Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/shis-qi-26-maravilhosa-casa-moderna-mobiliada-2950465143.html,29-07-20
52,Shis Ql 4,1200 m² área total 500 m² área útil 5 Quartos 8 Banheiros 4 Vagas,R$ 12.500,"SHIS QL 4, Lago Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/shis-ql-4-2950463151.html,29-07-20
53,Casa - Núcleo Bandeirante,180 m² área total 180 m² área útil 3 Quartos 1 Banheiro 2 Vagas,R$ 2.510,"Nucleo Bandeirante, Núcleo Bandeirante",,,,,https://www.wimoveis.com.br/propriedades/casa-nucleo-bandeirante-2950454499.html,29-07-20
54,"Casa no Condomínio Estancia Quintas Da Alvorada, 141 m² Por R$3.800/mês - Setor Habitacional Jardim",632 m² área total 141 m² área útil 3 Quartos 3 Banheiros 2 Vagas,R$ 3.800,"Condomínio Estância Quintas da Alvorada 0, Setor Habitacional Jardim Botânico, Brasília",,,,,https://www.wimoveis.com.br/propriedades/casa-no-condominio-estancia-quintas-da-alvorada-141-2950461853.html,29-07-20
55,Alugo Casa De 02 Quartos no Cond. Nova Digneia II Conj. I Sobradinho - Df,45 m² área total 45 m² área útil 2 Quartos 1 Banheiro,R$ 600,"Condomínio Colina Nova Diguinea II Conj I Casa 16 Res. 01 , Sobradinho, Sobradinho",,,,,https://www.wimoveis.com.br/propriedades/alugo-casa-de-02-quartos-no-cond.-nova-digneia-ii-2950449669.html,29-07-20
56,Casa para Aluguel - em Samambaia Norte,300 m² área total 140 m² área útil 4 Quartos 2 Banheiros 4 Vagas,R$ 1.650,"Samambaia Norte, Samambaia",,,,,https://www.wimoveis.com.br/propriedades/casa-para-aluguel-em-samambaia-norte-2950449642.html,29-07-20
57,"Casa para Aluguel - Samambaia, 1 Quarto, 40 m²",40 m² área total 40 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 700,"Qr 210 Conjunto 19, Samambaia, Samambaia",,,,,https://www.wimoveis.com.br/propriedades/casa-para-aluguel-samambaia-1-quarto-40-m-sup2-2950425971.html,29-07-20
58,"Casa para Aluguel - Samambaia, 2 Quartos, 45 m²",45 m² área total 45 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 900,"Qr 210 Conjunto 19, Samambaia, Samambaia",,,,,https://www.wimoveis.com.br/propriedades/casa-para-aluguel-samambaia-2-quartos-45-m-sup2-2950425812.html,29-07-20
59,Casa Jardim Botânico 3 Qts 3 Suítes Casa Nova E Reformada!,690 m² área total 230 m² área útil 3 Quartos 6 Banheiros 5 Vagas,R$ 5.500,"Condomínio Estância Quintas da Alvorada Condomínio Estância Quintas da Alvorada, Setor Habitacional Jardim Botânico, Brasília",,,,,https://www.wimoveis.com.br/propriedades/casa-jardim-botanico-3-qts-3-suites-casa-nova-e-2950429465.html,29-07-20
60,"Qsd 26 - Casa Com 3 Dormitórios para Alugar, 110 m² - Taguatinga Sul /df",300 m² área total 110 m² área útil 3 Quartos 1 Banheiro,R$ 2.000,"Taguatinga Sul, Taguatinga",,,,,https://www.wimoveis.com.br/propriedades/qsd-26-casa-com-3-dormitorios-para-alugar-110-2950441744.html,29-07-20
61,"Qsd 17 - Casa Com 4 Dormitórios para Alugar, 155 m² - Taguatinga Sul /df",155 m² área total 155 m² área útil 4 Quartos 3 Banheiros,R$ 3.500,"Taguatinga Sul, Taguatinga",,,,,https://www.wimoveis.com.br/propriedades/qsd-17-casa-com-4-dormitorios-para-alugar-155-2950441742.html,29-07-20
62,Qnl 01 Boloco I 3 Quartos,200 m² área total 135 m² área útil 3 Quartos 2 Banheiros 3 Vagas,R$ 1.400,"QNL 01, Taguatinga Norte, Taguatinga",,,,,https://www.wimoveis.com.br/propriedades/qnl-01-boloco-i-3-quartos-2950439946.html,29-07-20
63,Casa na Qi 01 Do Lago Sul,700 m² área total 700 m² área útil 6 Quartos 8 Banheiros 5 Vagas,R$ 20.000,"SHIS QI 01 Conjunto 4, Lago Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/casa-na-qi-01-do-lago-sul-2950440431.html,29-07-20
64,Casa - Locação - Qi 05 - Lago Sul,420 m² área total 420 m² área útil 4 Quartos 4 Banheiros 4 Vagas,R$ 11.000,"Lago Sul, Brasília",,,,,https://www.wimoveis.com.br/propriedades/casa-locacao-qi-05-lago-sul-2950430163.html,29-07-20
65,"Casa Com 3 Dormitórios para Alugar, 100 m² Por R$1.000,00/mês - Taguatinga Norte - Taguatinga/df",100 m² área total 100 m² área útil 3 Quartos 1 Banheiro 2 Vagas,R$ 1.000,"Taguatinga Norte, Taguatinga",,,,,https://www.wimoveis.com.br/propriedades/casa-com-3-dormitorios-para-alugar-100-m-sup2--por-2950442048.html,29-07-20
66,"Casa Residencial para Locação, Guará II, Guará.",90 m² área total 71 m² área útil 2 Quartos 2 Banheiros 1 Vaga,R$ 1.600,"Quadra QE 24 Conjunto D 0, Guara II, Guará",,,,,https://www.wimoveis.com.br/propriedades/casa-residencial-para-locacao-guara-ii-guara.-2950410828.html,29-07-20
67,"Casa para Aluguel - Ceilândia, 2 Quartos, 70 m²",70 m² área total 70 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 940,"Qnp 28 Conjunto S, Ceilandia Centro, Ceilândia",,,,,https://www.wimoveis.com.br/propriedades/casa-para-aluguel-ceilandia-2-quartos-70-m-sup2-2950417857.html,29-07-20
68,Shcgn 707 Asa Norte Casa 6 Qts 4 Suítes 470 m² Com 3 Vagas De Garagem!,470 m² área total 470 m² área útil 6 Quartos 7 Banheiros 3 Vagas,R$ 6.000,"SHCGN 707 Bloco E SHCGN 707 Bloco E, Asa Norte, Brasília",,,,,https://www.wimoveis.com.br/propriedades/shcgn-707-asa-norte-casa-6-qts-4-suites-470-m-sup2-2950414575.html,29-07-20
69,"Sobrado Com 2 Dormitórios para Alugar, 200 m² Por R$1.700,00/mês - Setor Jaó - Goiânia/go",300 m² área total 200 m² área útil 2 Quartos,R$ 1.700,"Setor Jaó, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/sobrado-com-2-dormitorios-para-alugar-200-m-sup2--por-2950400288.html,29-07-20
70,"Casa para Aluguel - Setor Leste Vila Nova, 1 Quarto, 23 m²",23 m² área total 23 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 730,"Rua 208, Setor Leste Vila Nova, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/casa-para-aluguel-setor-leste-vila-nova-1-quarto-2950397013.html,29-07-20
71,"Casa para Aluguel - Coimbra, 4 Quartos, 200 m²",200 m² área total 200 m² área útil 4 Quartos 3 Banheiros 4 Vagas,R$ 2.300,"Rua 245, Centro, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/casa-para-aluguel-coimbra-4-quartos-200-m-sup2-2950397332.html,29-07-20
72,"Casa para Aluguel - Taguatinga, 2 Quartos, 60 m²",60 m² área total 60 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 1.030,"Qnm 34 Conjunto B2, Taguatinga Centro, Taguatinga",,,,,https://www.wimoveis.com.br/propriedades/casa-para-aluguel-taguatinga-2-quartos-60-m-sup2-2950396988.html,29-07-20
73,"Casa Com 2 Dormitórios para Alugar, 80 m² Por R$850,00/mês - Setor Aeroporto - Goiânia/go",80 m² área total 80 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 850,"Setor Aeroporto, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/casa-com-2-dormitorios-para-alugar-80-m-sup2--por-2950400201.html,29-07-20
74,"Casa Com 4 Dormitórios para Alugar, 200 m² Por R$1.400,00/mês - Feliz - Goiânia/go",240 m² área total 200 m² área útil 4 Quartos 1 Banheiro,R$ 1.400,"Feliz, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/casa-com-4-dormitorios-para-alugar-200-m-sup2--por-2950400324.html,29-07-20
75,"Casa Com 3 Dormitórios para Alugar, 200 m² Por R$2.400,00/mês - Setor Sul - Goiânia/go",200 m² área total 200 m² área útil 3 Quartos 2 Banheiros 3 Vagas,R$ 2.400,"Setor Sul, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/casa-com-3-dormitorios-para-alugar-200-m-sup2--por-2950400311.html,29-07-20
76,"Casa Com 1 Dormitório para Alugar, 70 m² Por R$1.000,00/mês - Setor Coimbra - Goiânia/go",70 m² área total 70 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 1.000,"Setor Coimbra, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/casa-com-1-dormitorio-para-alugar-70-m-sup2--por-2950400221.html,29-07-20
77,"Casa Com 2 Dormitórios para Alugar, 60 m² Por R$900,00/mês - Setor Coimbra - Goiânia/go",60 m² área total 60 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 900,"Setor Coimbra, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/casa-com-2-dormitorios-para-alugar-60-m-sup2--por-2950400377.html,29-07-20
78,"Casa Com 3 Dormitórios para Alugar, 200 m² Por R$1.800/mês - Setor Pedro Ludovico - Goiânia/go",447 m² área total 200 m² área útil 3 Quartos 2 Banheiros,R$ 1.800,"Setor Pedro Ludovico, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/casa-com-3-dormitorios-para-alugar-200-m-sup2--por-2950400444.html,29-07-20
79,"Casa Com 3 Dormitórios para Venda, 288 m² Por R$650.000 - Setor Coimbra - Goiânia/go",390 m² área total 288 m² área útil 3 Quartos 4 Banheiros 3 Vagas,R$ 2.500,"Setor Coimbra, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/casa-com-3-dormitorios-para-venda-288-m-sup2--por-2950400428.html,29-07-20
80,"Casa Com 2 Dormitórios para Alugar, 100 m² Por R$900,00/mês - Setor Sul - Goiânia/go",240 m² área total 100 m² área útil 2 Quartos 1 Banheiro,R$ 900,"Setor Sul, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/casa-com-2-dormitorios-para-alugar-100-m-sup2--por-2950400318.html,29-07-20
81,Aluga - Se Casa Condomínio Estância Quintas Alvorada,690 m² área total 130 m² área útil 3 Quartos 2 Banheiros 3 Vagas,R$ 3.500,"Setor Habitacional Jardim Botânico, Brasília",,,,,https://www.wimoveis.com.br/propriedades/aluga-se-casa-condominio-estancia-quintas-alvorada-2950408012.html,29-07-20
82,"Sobrado Com 3 Dormitórios, 178 m² - Venda Por R$567.000ou Aluguel Por R$1.850,00/mês - Jardim",267 m² área total 178 m² área útil 3 Quartos 3 Banheiros 2 Vagas,R$ 1.850,"Jardim América, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/sobrado-com-3-dormitorios-178-m-sup2--venda-por-2950400396.html,29-07-20
83,"Casa Com 2 Dormitórios para Alugar, 50 m² Por R$700,00/mês - Setor Garavelo - Aparecida De Goiânia/",50 m² área total 50 m² área útil 2 Quartos 1 Banheiro,R$ 700,"Setor Garavelo, Aparecida de Goiânia",,,,,https://www.wimoveis.com.br/propriedades/casa-com-2-dormitorios-para-alugar-50-m-sup2--por-2950400465.html,29-07-20
84,Casa - Região Dos Lagos,500 m² área total 2 Quartos 1 Banheiro 2 Vagas,R$ 2.500,"Região Dos Lagos, Sobradinho",,,,,https://www.wimoveis.com.br/propriedades/casa-regiao-dos-lagos-2950417054.html,29-07-20
85,"Casa Com 2 Dormitórios para Alugar, 60 m² Por R$1.000,00/mês - Setor Leste Universitário - Goiânia/",60 m² área total 60 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 1.000,"Setor Leste Universitário, Goiânia",,,,,https://www.wimoveis.com.br/propriedades/casa-com-2-dormitorios-para-alugar-60-m-sup2--por-2950400279.html,29-07-20
